"","ident","Latitude","Longitude","y_proj","x_proj","altitude","site.ele","slope","aspect","slopecor","EDGE","ROAD","TRAIL"
"1","PM1",36.35282,-80.49938,289765.8254,475013.881,0,293,9.715989112854,3.3611307144165,"N",187.945771829512,1430.89111755846,1403.36099858966
"2","PM2",36.35429,-80.47406,289895.2113,477288.6189,387.53418,370,5.25752878189087,305.095336914062,"N",194.325917940988,531.451106876396,421.902592703255
"3","PM3",36.34814,-80.4963,289242.8207,475282.8763,0,309,3.69707202911377,230.962799072266,"S",422.920235777048,895.945746955653,833.846724385138
"4","PM4",36.34858,-80.48924,289282.5136,475917.0001,0,373,18.7615070343018,302.625244140625,"N",413.365210305641,456.072326284717,567.042491187827
"5","PM5",36.3486,-80.48218,289274.5759,476551.1283,0,438,14.8556146621704,349.092895507812,"N",407.178211516992,278.25763688541,261.909197920326
"6","PM6",36.3484,-80.47493,289242.8282,477201.1268,0,454,6.94167041778564,29.6484680175781,"N",637.373948955625,54.9195394751763,32.6511027550256
"7","PM7",36.34828,-80.4677,289219.7445,477850.3387,388.9762,388,7.43977642059326,62.1292343139648,"N",275.307668454227,145.580428968989,266.687115897795
"8","PM8",36.34318,-80.49302,288688.0751,475568.6303,0,371,15.3253393173218,278.540222167969,"N",349.935695215054,424.150573068121,316.961673654518
"9","PM9",36.34313,-80.48569,288672.2031,476226.5693,0,583,17.8764591217041,301.152862548828,"N",832.38550114269,67.2268534937618,4.89562020004706
"10","PM10",36.34339,-80.47866,288692.3699,476858.367,613.2019,618,14.1169319152832,13.8547410964966,"N",997.31784183186,156.000247872738,33.1968855469285
"11","PM11",36.3439,-80.4713,288738.7818,477519.3655,507.21741,506,16.2248554229736,66.0730590820312,"N",708.316040543591,125.449240732782,196.182327261394
"12","PM12",36.34339,-80.46353,288672.1993,478216.2504,0,369,10.2548885345459,50.9610977172852,"N",207.476881915209,53.1272318931494,105.290351907724
"13","PM13",36.3378,-80.48922,288085.8877,475900.9212,0,427,16.4757499694824,172.198440551758,"S",198.989770426124,433.214990291806,127.449625302723
"14","PM14",36.33789,-80.48189,288085.7033,476559.0634,0,528,20.608341217041,189.990539550781,"S",700.225765786826,253.351077940263,123.861993195362
"15","PM15",36.3379,-80.47474,288077.7598,477201.1257,0,590,26.5205020904541,185.771484375,"S",784.087922474323,454.392360937855,152.449825943189
"16","PM16",36.33799,-80.4675,288077.7639,477851.1251,0,448,14.1183919906616,102.142295837402,"S",675.852748295175,527.021537080317,227.813380455265
"17","PM17",36.33793,-80.46035,288061.8854,478493.19,0,326,6.49723052978516,138.626846313477,"S",261.836065640097,189.255987039159,126.49349834294
"18","PM18",36.33283,-80.48527,287529.1952,476246.8771,0,385,9.26312923431396,176.472137451172,"S",150.047227506559,868.170587638987,353.541652511171
"19","PM19",36.333,-80.47835,287538.8907,476868.6268,0,448,13.1334981918335,186.173095703125,"S",284.681307703551,789.190604306655,268.346436436324
"20","PM20",36.33309,-80.4712,287538.8865,477510.6877,0,400,10.0584630966187,137.238403320312,"S",227.331113651394,888.314204587856,2.86900145234994
"21","PM21",36.33239,-80.4636,287451.5789,478192.443,0,340,7.63212633132935,160.304077148438,"S",394.819749847078,255.92411813598,137.741096986698
"22","PM22",36.33219,-80.45679,287419.8286,478802.7526,0,295,5.73093318939209,90,"N",274.527684304496,223.042284838121,323.203207501604
