GROUP,SITE,DATE,TIME,SPECIES,COUNT,ANTLERED,YOUNG,DATE.TIME
4,PM19,1/3/2018,11:12,deer,2,0,1,1/3/2018 23:12
4,PM19,1/3/2018,11:13,deer,2,0,1,1/3/2018 23:13
4,PM19,1/3/2018,11:15,deer,1,0,1,1/3/2018 23:15
4,PM19,1/8/2018,8:45,deer,1,1,0,1/8/2018 20:45
4,PM19,1/8/2018,8:53,deer,1,1,0,1/8/2018 20:53
4,PM19,1/8/2018,10:31,deer,1,0,0,1/8/2018 22:31
4,PM19,1/9/2018,3:10,deer,1,0,0,1/9/2018 3:10
4,PM19,1/9/2018,3:12,deer,1,0,0,1/9/2018 3:12
4,PM19,1/9/2018,3:13,deer,2,0,1,1/9/2018 3:13
4,PM19,1/9/2018,3:15,deer,2,0,1,1/9/2018 3:15
4,PM19,1/9/2018,3:16,deer,2,0,1,1/9/2018 3:16
4,PM19,1/12/2018,6:35,deer,1,0,0,1/12/2018 6:35
4,PM19,1/15/2018,8:27,deer,1,1,0,1/15/2018 20:27
4,PM19,1/19/2018,1:29,deer,1,0,0,1/19/2018 1:29
4,PM19,1/19/2018,1:52,deer,1,1,0,1/19/2018 1:52
4,PM19,1/19/2018,1:53,deer,1,0,0,1/19/2018 1:53
4,PM19,1/19/2018,1:54,deer,1,0,0,1/19/2018 1:54
4,PM19,1/19/2018,1:55,deer,1,0,0,1/19/2018 1:55
4,PM19,1/19/2018,1:59,deer,1,1,0,1/19/2018 1:59
4,PM19,1/19/2018,4:06,deer,1,1,0,1/19/2018 4:06
4,PM19,1/19/2018,6:39,deer,1,0,0,1/19/2018 6:39
4,PM19,1/19/2018,11:37,deer,1,0,1,1/19/2018 23:37
4,PM19,1/19/2018,11:38,deer,1,0,0,1/19/2018 23:38
4,PM19,1/19/2018,11:39,deer,1,0,0,1/19/2018 23:39
4,PM19,1/20/2018,10:44,deer,2,0,0,1/20/2018 22:44
4,PM19,1/20/2018,10:45,deer,3,0,0,1/20/2018 22:45
4,PM19,1/20/2018,10:46,deer,2,0,0,1/20/2018 22:46
4,PM19,1/20/2018,10:47,deer,1,0,0,1/20/2018 22:47
4,PM19,1/21/2018,2:05,deer,1,0,0,1/21/2018 2:05
4,PM19,1/21/2018,3:27,deer,2,0,1,1/21/2018 3:27
4,PM19,1/21/2018,3:29,deer,2,0,1,1/21/2018 3:29
4,PM19,1/21/2018,3:31,deer,1,0,1,1/21/2018 3:31
4,PM19,1/21/2018,4:21,deer,1,0,0,1/21/2018 4:21
4,PM19,1/22/2018,1:00,deer,1,1,0,1/22/2018 1:00
4,PM19,1/22/2018,6:09,deer,1,0,0,1/22/2018 6:09
4,PM19,1/22/2018,6:10,deer,1,0,1,1/22/2018 6:10
4,PM19,1/22/2018,6:12,deer,1,0,0,1/22/2018 6:12
4,PM19,1/22/2018,6:14,deer,1,0,1,1/22/2018 6:14
4,PM19,1/22/2018,6:16,deer,1,0,1,1/22/2018 6:16
4,PM19,1/22/2018,6:17,deer,1,0,1,1/22/2018 6:17
4,PM19,1/22/2018,6:21,deer,1,0,0,1/22/2018 6:21
4,PM19,1/22/2018,6:22,deer,1,0,0,1/22/2018 6:22
4,PM19,1/23/2018,9:33,deer,1,0,0,1/23/2018 21:33
4,PM19,1/23/2018,9:46,deer,1,1,0,1/23/2018 21:46
4,PM19,1/23/2018,9:47,deer,2,1,0,1/23/2018 21:47
4,PM19,1/23/2018,9:48,deer,2,1,0,1/23/2018 21:48
4,PM19,1/23/2018,9:49,deer,2,0,0,1/23/2018 21:49
4,PM19,1/23/2018,9:54,deer,1,0,1,1/23/2018 21:54
4,PM19,1/23/2018,9:59,deer,1,0,1,1/23/2018 21:59
4,PM19,1/23/2018,10:01,deer,1,0,1,1/23/2018 22:01
4,PM19,1/23/2018,10:02,deer,1,0,1,1/23/2018 22:02
4,PM19,1/23/2018,10:03,deer,1,0,1,1/23/2018 22:03
4,PM19,1/23/2018,10:54,deer,1,0,1,1/23/2018 22:54
4,PM19,1/23/2018,10:55,deer,1,0,1,1/23/2018 22:55
4,PM19,1/25/2018,7:02,deer,2,1,0,1/25/2018 7:02
4,PM19,1/26/2018,2:05,deer,1,0,0,1/26/2018 2:05
4,PM19,1/26/2018,2:14,deer,1,0,0,1/26/2018 2:14
4,PM19,1/26/2018,2:21,deer,1,0,0,1/26/2018 2:21
4,PM19,1/27/2018,1:29,deer,1,0,1,1/27/2018 1:29
4,PM19,1/27/2018,9:50,deer,1,0,0,1/27/2018 21:50
4,PM19,1/27/2018,9:51,deer,1,0,0,1/27/2018 21:51
4,PM19,1/29/2018,6:19,deer,1,0,0,1/29/2018 18:19
4,PM19,1/29/2018,6:27,deer,1,0,0,1/29/2018 18:27
4,PM19,1/29/2018,6:28,deer,1,0,0,1/29/2018 18:28
4,PM19,1/29/2018,10:55,deer,1,0,0,1/29/2018 22:55
4,PM19,1/29/2018,11:31,deer,1,0,0,1/29/2018 23:31
4,PM19,1/30/2018,1:14,deer,1,0,0,1/30/2018 1:14
4,PM19,1/30/2018,6:45,deer,1,0,0,1/30/2018 18:45
4,PM19,1/30/2018,6:48,deer,2,0,1,1/30/2018 18:48
4,PM19,1/30/2018,6:51,deer,1,0,0,1/30/2018 18:51
4,PM19,1/30/2018,6:52,deer,1,0,0,1/30/2018 18:52
4,PM19,1/30/2018,6:57,deer,2,0,1,1/30/2018 18:57
