OBSERVER,DATE,AMPM,FLIGHT,TRANSECT,COUNT,TIME
RB,2/9/2018,PM,4,1,0,2:22
RB,2/9/2018,PM,4,2,1,6:17
RB,2/9/2018,PM,4,2,3,6:49
RB,2/9/2018,PM,4,2,1,7:15
RB,2/9/2018,PM,4,2,1,8:04
RB,2/9/2018,PM,4,2,1,8:33
RB,2/9/2018,PM,4,2,1,9:08
RB,2/9/2018,PM,4,2,1,9:12
RB,2/9/2018,PM,4,3,1,14:25
RB,2/9/2018,PM,4,4,1,16:54
RB,2/9/2018,PM,4,6,1,5:12
RB,2/9/2018,PM,4,5,1,12:54
RB,2/9/2018,PM,4,5,1,13:16
RB,2/9/2018,PM,4,5,1,14:29
RB,2/9/2018,PM,4,4,3,19:11
RB,2/9/2018,PM,4,4,2,19:37
RB,2/9/2018,PM,4,4,1,20:52
RB,2/9/2018,AM,3,1,3,4:08
RB,2/9/2018,AM,3,2,1,7:18
RB,2/9/2018,AM,3,2,1,8:08
RB,2/9/2018,AM,3,2,1,8:22
RB,2/9/2018,AM,3,2,3,8:53
RB,2/9/2018,AM,3,2,2,8:56
RB,2/9/2018,AM,3,3,1,11:14
RB,2/9/2018,AM,3,3,1,11:38
RB,2/9/2018,AM,3,3,1,13:03
RB,2/9/2018,AM,3,6,1,4:58
RB,2/9/2018,AM,3,6,1,5:19
RB,2/9/2018,AM,3,6,1,7:17
RB,2/9/2018,AM,3,6,1,7:21
RB,2/9/2018,AM,3,6,1,7:40
RB,2/9/2018,AM,3,6,4,8:29
RB,2/9/2018,AM,3,5,1,13:39
RB,2/9/2018,AM,3,5,5,13:46
RB,2/9/2018,AM,3,5,4,13:53
RB,2/9/2018,AM,3,5,6,14:28
RB,2/9/2018,AM,3,5,1,14:42
RB,2/9/2018,AM,3,5,2,15:28
RB,2/9/2018,AM,3,4,2,18:55
RB,2/8/2018,PM,2,2,2,7:41
RB,2/8/2018,PM,2,2,1,8:07
RB,2/8/2018,PM,2,2,3,8:42
RB,2/8/2018,PM,2,2,1,9:13
RB,2/8/2018,PM,2,3,1,12:14
RB,2/8/2018,PM,2,3,1,14:32
RB,2/8/2018,PM,2,3,1,15:18
RB,2/8/2018,PM,2,4,2,17:00
RB,2/8/2018,PM,2,4,3,17:11
RB,2/8/2018,PM,2,4,3,18:26
RB,2/8/2018,PM,2,4,2,18:43
RB,2/8/2018,PM,2,4,2,19:34
RB,2/8/2018,PM,2,6,1,4:07
RB,2/8/2018,PM,2,6,1,4:26
RB,2/8/2018,PM,2,6,2,5:22
RB,2/8/2018,PM,2,6,1,6:22
RB,2/8/2018,PM,2,6,3,7:06
RB,2/8/2018,PM,2,6,2,9:07
RB,2/8/2018,PM,2,5,1,10:47
RB,2/8/2018,PM,2,5,1,12:09
RB,2/8/2018,PM,2,5,1,13:11
RB,2/8/2018,PM,2,5,1,13:34
RB,2/8/2018,PM,2,5,1,14:03
RB,2/8/2018,PM,2,5,1,16:24
RB,2/8/2018,PM,2,1,0,2:22
RB,2/8/2018,PM,2,4,1,19:21
RB,2/8/2018,AM,1,6,1,4:12
RB,2/8/2018,AM,1,6,1,4:55
RB,2/8/2018,AM,1,6,1,5:17
RB,2/8/2018,AM,1,6,2,6:54
RB,2/8/2018,AM,1,6,1,7:37
RB,2/8/2018,AM,1,5,2,10:31
RB,2/8/2018,AM,1,5,2,10:58
RB,2/8/2018,AM,1,5,1,11:48
RB,2/8/2018,AM,1,5,2,12:09
RB,2/8/2018,AM,1,5,1,12:47
RB,2/8/2018,AM,1,5,1,13:19
RB,2/8/2018,AM,1,5,1,13:32
RB,2/8/2018,AM,1,5,3,14:17
RB,2/8/2018,AM,1,5,1,15:15
RB,2/8/2018,AM,1,5,2,16:13
RB,2/8/2018,AM,1,5,2,16:32
RB,2/8/2018,AM,1,4,6,18:39
RB,2/8/2018,AM,1,4,2,19:33
RB,2/8/2018,AM,1,4,2,19:48
RB,2/8/2018,AM,1,4,1,21:56
RB,2/8/2018,AM,1,1,1,4:18
RB,2/8/2018,AM,1,1,1,4:27
RB,2/8/2018,AM,1,1,1,4:46
RB,2/8/2018,AM,1,2,1,7:04
RB,2/8/2018,AM,1,2,2,7:12
RB,2/8/2018,AM,1,2,1,7:20
RB,2/8/2018,AM,1,2,2,7:29
RB,2/8/2018,AM,1,2,1,7:35
RB,2/8/2018,AM,1,2,2,8:21
RB,2/8/2018,AM,1,2,2,8:25
RB,2/8/2018,AM,1,2,1,8:35
RB,2/8/2018,AM,1,2,2,9:12
RB,2/8/2018,AM,1,3,3,11:37
RB,2/8/2018,AM,1,3,1,12:26
RB,2/8/2018,AM,1,3,2,13:33
RB,2/8/2018,AM,1,3,1,15:05
RB,2/13/2018,AM,5,1,1,3:59
RB,2/13/2018,AM,5,1,1,4:41
RB,2/13/2018,AM,5,2,2,6:27
RB,2/13/2018,AM,5,2,1,6:48
RB,2/13/2018,AM,5,2,4,7:36
RB,2/13/2018,AM,5,3,1,12:07
RB,2/13/2018,AM,5,3,1,12:16
RB,2/13/2018,AM,5,3,1,12:38
RB,2/13/2018,AM,5,3,1,13:17
RB,2/13/2018,AM,5,3,1,13:57
RB,2/13/2018,AM,5,3,2,14:38
RB,2/13/2018,AM,5,4,2,20:40
RB,2/13/2018,AM,5,4,1,21:49
RB,2/13/2018,AM,5,6,2,3:56
RB,2/13/2018,AM,5,6,2,4:17
RB,2/13/2018,AM,5,6,1,5:09
RB,2/13/2018,AM,5,6,4,5:39
RB,2/13/2018,AM,5,6,2,6:49
RB,2/13/2018,AM,5,6,2,7:02
RB,2/13/2018,AM,5,6,1,8:19
RB,2/13/2018,AM,5,6,2,8:35
RB,2/13/2018,AM,5,5,1,11:09
RB,2/13/2018,AM,5,5,2,12:44
RB,2/13/2018,AM,5,5,2,13:30
