PERIOD,DATE,SITE,NDVI
1,1/1/2016,PM19,4555
1,1/1/2016,PM9,6013
1,1/1/2016,PM10,4667
1,1/1/2016,PM5,5711
1,1/1/2016,PM1,5920
1,1/1/2016,PM3,5927
1,1/1/2016,PM12,4255
1,1/1/2016,PM7,4908
1,1/1/2016,PM2,4979
1,1/1/2016,PM8,5631
1,1/1/2016,PM13,4752
1,1/1/2016,PM17,4915
1,1/1/2016,PM14,4416
1,1/1/2016,PM21,4543
1,1/1/2016,PM15,4388
1,1/1/2016,PM18,4522
1,1/1/2016,PM20,4276
1,1/1/2016,PM22,4858
1,1/1/2016,PM4,5430
1,1/1/2016,PM6,5197
1,1/1/2016,PM16,4287
1,1/1/2016,PM11,4573
2,1/17/2016,PM14,4788
2,1/17/2016,PM12,3956
2,1/17/2016,PM7,5249
2,1/17/2016,PM3,7086
2,1/17/2016,PM19,4102
2,1/17/2016,PM13,5016
2,1/17/2016,PM8,5788
2,1/17/2016,PM22,4435
2,1/17/2016,PM10,2400
2,1/17/2016,PM15,4350
2,1/17/2016,PM4,5708
2,1/17/2016,PM18,4088
2,1/17/2016,PM17,4598
2,1/17/2016,PM6,4625
2,1/17/2016,PM2,5649
2,1/17/2016,PM9,4339
2,1/17/2016,PM16,4604
2,1/17/2016,PM20,4346
2,1/17/2016,PM5,5054
2,1/17/2016,PM1,6627
2,1/17/2016,PM11,3053
2,1/17/2016,PM21,4214
3,2/2/2016,PM8,5198
3,2/2/2016,PM12,4325
3,2/2/2016,PM15,4427
3,2/2/2016,PM4,5355
3,2/2/2016,PM13,4492
3,2/2/2016,PM6,4415
3,2/2/2016,PM2,4857
3,2/2/2016,PM3,5154
3,2/2/2016,PM9,4696
3,2/2/2016,PM10,3868
3,2/2/2016,PM14,4544
3,2/2/2016,PM7,4816
3,2/2/2016,PM22,4790
3,2/2/2016,PM17,4296
3,2/2/2016,PM5,5169
3,2/2/2016,PM19,4378
3,2/2/2016,PM1,5264
3,2/2/2016,PM18,4417
3,2/2/2016,PM11,4200
3,2/2/2016,PM20,4349
3,2/2/2016,PM16,4342
3,2/2/2016,PM21,4359
4,2/18/2016,PM3,5159
4,2/18/2016,PM2,4594
4,2/18/2016,PM7,4393
4,2/18/2016,PM13,4351
4,2/18/2016,PM12,3886
4,2/18/2016,PM14,4369
4,2/18/2016,PM19,4148
4,2/18/2016,PM4,5110
4,2/18/2016,PM8,5103
4,2/18/2016,PM16,4094
4,2/18/2016,PM17,4600
4,2/18/2016,PM6,5164
4,2/18/2016,PM9,4330
4,2/18/2016,PM18,4318
4,2/18/2016,PM22,4650
4,2/18/2016,PM15,4039
4,2/18/2016,PM11,4249
4,2/18/2016,PM1,5185
4,2/18/2016,PM5,5080
4,2/18/2016,PM21,4259
4,2/18/2016,PM20,4258
4,2/18/2016,PM10,4470
5,3/5/2016,PM13,4293
5,3/5/2016,PM18,4200
5,3/5/2016,PM12,3926
5,3/5/2016,PM6,4963
5,3/5/2016,PM14,4266
5,3/5/2016,PM2,4654
5,3/5/2016,PM19,4137
5,3/5/2016,PM3,4958
5,3/5/2016,PM11,4162
5,3/5/2016,PM5,4688
5,3/5/2016,PM1,5168
5,3/5/2016,PM20,4330
5,3/5/2016,PM22,4740
5,3/5/2016,PM17,4353
5,3/5/2016,PM7,4412
5,3/5/2016,PM21,4319
5,3/5/2016,PM8,5106
5,3/5/2016,PM9,4343
5,3/5/2016,PM10,4371
5,3/5/2016,PM16,4119
5,3/5/2016,PM4,4992
5,3/5/2016,PM15,3973
6,3/21/2016,PM18,4746
6,3/21/2016,PM7,4829
6,3/21/2016,PM19,4693
6,3/21/2016,PM13,4593
6,3/21/2016,PM2,5294
6,3/21/2016,PM12,4651
6,3/21/2016,PM1,5389
6,3/21/2016,PM6,4760
6,3/21/2016,PM22,5681
6,3/21/2016,PM15,4545
6,3/21/2016,PM11,4634
6,3/21/2016,PM3,5612
6,3/21/2016,PM8,5490
6,3/21/2016,PM17,4898
6,3/21/2016,PM20,4865
6,3/21/2016,PM16,4588
6,3/21/2016,PM14,4590
6,3/21/2016,PM9,4605
6,3/21/2016,PM21,4970
6,3/21/2016,PM4,5056
6,3/21/2016,PM5,5027
6,3/21/2016,PM10,4398
7,4/6/2016,PM12,6206
7,4/6/2016,PM7,6291
7,4/6/2016,PM19,4590
7,4/6/2016,PM3,5606
7,4/6/2016,PM13,4371
7,4/6/2016,PM6,6101
7,4/6/2016,PM16,6361
7,4/6/2016,PM8,4937
7,4/6/2016,PM15,5421
7,4/6/2016,PM20,4823
7,4/6/2016,PM11,5662
7,4/6/2016,PM18,4728
7,4/6/2016,PM2,6232
7,4/6/2016,PM17,6724
7,4/6/2016,PM22,6637
7,4/6/2016,PM5,6387
7,4/6/2016,PM10,4738
7,4/6/2016,PM1,5592
7,4/6/2016,PM4,4935
7,4/6/2016,PM9,4206
7,4/6/2016,PM21,4853
7,4/6/2016,PM14,5127
8,4/22/2016,PM12,7662
8,4/22/2016,PM8,8112
8,4/22/2016,PM6,8537
8,4/22/2016,PM19,8377
8,4/22/2016,PM18,8524
8,4/22/2016,PM1,7905
8,4/22/2016,PM22,8604
8,4/22/2016,PM11,8362
8,4/22/2016,PM2,7417
8,4/22/2016,PM16,8641
8,4/22/2016,PM4,8529
8,4/22/2016,PM3,7898
8,4/22/2016,PM7,8618
8,4/22/2016,PM21,8836
8,4/22/2016,PM15,6564
8,4/22/2016,PM5,8516
8,4/22/2016,PM14,8151
8,4/22/2016,PM17,8772
8,4/22/2016,PM13,7572
8,4/22/2016,PM10,7028
8,4/22/2016,PM9,7934
8,4/22/2016,PM20,8415
9,5/8/2016,PM18,8624
9,5/8/2016,PM7,8762
9,5/8/2016,PM12,8367
9,5/8/2016,PM13,8260
9,5/8/2016,PM2,8078
9,5/8/2016,PM6,8961
9,5/8/2016,PM22,8478
9,5/8/2016,PM9,8597
9,5/8/2016,PM11,9038
9,5/8/2016,PM15,7646
9,5/8/2016,PM1,8208
9,5/8/2016,PM17,8979
9,5/8/2016,PM14,7598
9,5/8/2016,PM8,8768
9,5/8/2016,PM19,8893
9,5/8/2016,PM5,8949
9,5/8/2016,PM16,8951
9,5/8/2016,PM20,8981
9,5/8/2016,PM10,8620
9,5/8/2016,PM3,8530
9,5/8/2016,PM21,8974
9,5/8/2016,PM4,8824
10,5/24/2016,PM12,8173
10,5/24/2016,PM6,8853
10,5/24/2016,PM7,8755
10,5/24/2016,PM1,8026
10,5/24/2016,PM22,8541
10,5/24/2016,PM19,8972
10,5/24/2016,PM17,9019
10,5/24/2016,PM15,8715
10,5/24/2016,PM11,9005
10,5/24/2016,PM20,8788
10,5/24/2016,PM3,8303
10,5/24/2016,PM8,8487
10,5/24/2016,PM18,8829
10,5/24/2016,PM21,9009
10,5/24/2016,PM10,8523
10,5/24/2016,PM4,8853
10,5/24/2016,PM16,9010
10,5/24/2016,PM2,8839
10,5/24/2016,PM13,8117
10,5/24/2016,PM9,8815
10,5/24/2016,PM14,8417
10,5/24/2016,PM5,8903
11,6/9/2016,PM6,8816
11,6/9/2016,PM17,8769
11,6/9/2016,PM19,8988
11,6/9/2016,PM8,8718
11,6/9/2016,PM1,8308
11,6/9/2016,PM22,8860
11,6/9/2016,PM10,8837
11,6/9/2016,PM12,8345
11,6/9/2016,PM5,8848
11,6/9/2016,PM16,9039
11,6/9/2016,PM11,9081
11,6/9/2016,PM21,8891
11,6/9/2016,PM3,8601
11,6/9/2016,PM7,8844
11,6/9/2016,PM13,8655
11,6/9/2016,PM20,8795
11,6/9/2016,PM15,8593
11,6/9/2016,PM9,8301
11,6/9/2016,PM14,8301
11,6/9/2016,PM18,8762
11,6/9/2016,PM2,8352
11,6/9/2016,PM4,8818
12,6/25/2016,PM6,9038
12,6/25/2016,PM13,8352
12,6/25/2016,PM22,9012
12,6/25/2016,PM15,8781
12,6/25/2016,PM19,9130
12,6/25/2016,PM1,8868
12,6/25/2016,PM12,8540
12,6/25/2016,PM17,9069
12,6/25/2016,PM10,8814
12,6/25/2016,PM9,8964
12,6/25/2016,PM18,8918
12,6/25/2016,PM8,8813
12,6/25/2016,PM21,9127
12,6/25/2016,PM20,8972
12,6/25/2016,PM14,8344
12,6/25/2016,PM11,9145
12,6/25/2016,PM7,9005
12,6/25/2016,PM16,9148
12,6/25/2016,PM2,8235
12,6/25/2016,PM3,8837
12,6/25/2016,PM5,9073
12,6/25/2016,PM4,8991
13,7/11/2016,PM10,8461
13,7/11/2016,PM15,7929
13,7/11/2016,PM12,8212
13,7/11/2016,PM2,8214
13,7/11/2016,PM13,8367
13,7/11/2016,PM19,8901
13,7/11/2016,PM14,8496
13,7/11/2016,PM1,8199
13,7/11/2016,PM20,8690
13,7/11/2016,PM22,8878
13,7/11/2016,PM16,9009
13,7/11/2016,PM7,8863
13,7/11/2016,PM11,9060
13,7/11/2016,PM8,8651
13,7/11/2016,PM3,8662
13,7/11/2016,PM9,8816
